# time, noise
0.000000000000000000e+00 -1.345467960800791997e-21
4.883050930221202474e-04 1.499051794471761560e-21
9.766101860442404949e-04 -8.547535066332933014e-22
1.464915279066360742e-03 6.357456575060542838e-23
1.953220372088480990e-03 -1.628262331818846699e-21
2.441525465110601020e-03 -9.769212338253775395e-22
2.929830558132721485e-03 1.180060773102202695e-21
3.418135651154841949e-03 5.011805143582428341e-22
3.906440744176961979e-03 -7.621440157392269372e-22
4.394745837199082010e-03 -9.771528418947969676e-22
4.883050930221202041e-03 3.924968316464096378e-22
5.371356023243322939e-03 1.295939394926827883e-21
5.859661116265442969e-03 -1.173532049167736508e-21
6.347966209287563000e-03 5.742861807154324275e-22
6.836271302309683898e-03 2.290799435766436300e-22
7.324576395331803928e-03 -1.452355831952705688e-22
7.812881488353923959e-03 -9.737683557420271690e-22
8.301186581376044857e-03 1.318255559458791181e-21
8.789491674398164020e-03 -1.029430178524371707e-21
9.277796767420284918e-03 -3.856548332779541706e-21
9.766101860442404081e-03 -2.453625630904873224e-22
1.025440695346452498e-02 -5.208618985906673619e-22
1.074271204648664588e-02 3.083122009655057687e-22
1.123101713950876504e-02 1.412651541954001282e-22
1.171932223253088594e-02 3.570226240146547436e-21
1.220762732555300684e-02 -5.748650027577706559e-22
1.269593241857512600e-02 -1.697840496675941620e-21
1.318423751159724690e-02 -4.324658368386220658e-23
1.367254260461936780e-02 1.476514291267721153e-21
1.416084769764148696e-02 -1.182453368589154701e-21
1.464915279066360786e-02 -2.064206768728515865e-21
1.513745788368572702e-02 -2.351302893318408413e-22
1.562576297670784792e-02 5.456158332078223322e-22
1.611406806972996708e-02 -1.880152973410816997e-21
1.660237316275208971e-02 -1.947550457610132739e-22
1.709067825577420888e-02 2.338035613976522410e-22
1.757898334879632804e-02 -3.023208860657963913e-22
1.806728844181845067e-02 1.311647536591801754e-21
1.855559353484056984e-02 1.579284886459858773e-21
1.904389862786268900e-02 7.695369699644620353e-22
1.953220372088480816e-02 3.996366795525775297e-21
2.002050881390693080e-02 -3.323267787156869570e-22
2.050881390692904996e-02 5.603052392387409987e-22
2.099711899995116912e-02 1.370372518178921486e-21
2.148542409297329175e-02 5.829450286894858048e-22
2.197372918599541092e-02 -1.960283473792574152e-21
2.246203427901753008e-02 3.605201478514102755e-22
2.295033937203965271e-02 2.762167547432044078e-22
2.343864446506177188e-02 9.527305253215404465e-22
2.392694955808389104e-02 1.153987603143590738e-21
2.441525465110601367e-02 -5.036336357026410631e-23
2.490355974412813284e-02 2.778666071882065194e-21
2.539186483715025200e-02 1.622945951008241977e-21
2.588016993017237463e-02 -1.865020567174510385e-21
2.636847502319449379e-02 -1.050924646406116780e-21
2.685678011621661296e-02 -2.137480655530297122e-21
2.734508520923873559e-02 -1.925867687059858669e-21
2.783339030226085475e-02 2.438007174038457918e-21
2.832169539528297392e-02 -2.707144804728325837e-21
2.881000048830509308e-02 1.035828927475846936e-21
2.929830558132721571e-02 -1.023180422883002246e-21
2.978661067434933488e-02 1.071756439278550636e-21
3.027491576737145404e-02 -8.464284547925608094e-22
3.076322086039357667e-02 -2.233743669165095818e-21
3.125152595341569584e-02 3.854852563765840288e-22
3.173983104643781500e-02 5.782145892362228392e-22
3.222813613945993416e-02 -8.651604736464610886e-22
3.271644123248205333e-02 1.170954021509427058e-21
3.320474632550417943e-02 -4.524700788182357144e-22
3.369305141852629859e-02 1.939949043194140824e-21
3.418135651154841775e-02 9.001711417453908142e-22
3.466966160457053692e-02 -1.909103467577330016e-21
3.515796669759265608e-02 -6.667041203194702715e-22
3.564627179061477524e-02 1.224945529042556624e-21
3.613457688363690135e-02 8.823294984561341725e-22
3.662288197665902051e-02 -9.440482796449718699e-22
3.711118706968113967e-02 3.053308167301254406e-21
3.759949216270325884e-02 -5.525634551915615298e-22
3.808779725572537800e-02 4.025198365516884886e-22
3.857610234874749716e-02 1.667210144152105971e-21
3.906440744176961632e-02 5.641700488921352041e-22
3.955271253479174243e-02 6.374075990083807316e-22
4.004101762781386159e-02 4.393724852996772289e-22
4.052932272083598075e-02 -8.654548890773989983e-22
4.101762781385809992e-02 -1.587584219353491119e-22
4.150593290688021908e-02 -3.595534455429868098e-22
4.199423799990233824e-02 -6.328609535726144734e-23
4.248254309292446435e-02 -1.812235525954535650e-23
4.297084818594658351e-02 4.609488688316219154e-22
4.345915327896870267e-02 -1.594449251861493651e-21
4.394745837199082183e-02 6.730327433832278087e-22
4.443576346501294100e-02 -6.450367649359261385e-22
4.492406855803506016e-02 1.471306896359421715e-22
4.541237365105718626e-02 -1.547253912386602717e-21
4.590067874407930543e-02 -1.561823574205692144e-21
4.638898383710142459e-02 -5.749175987545116751e-22
4.687728893012354375e-02 3.495721424053192445e-21
4.736559402314566292e-02 1.559945089955132632e-21
4.785389911616778208e-02 5.849494256146866181e-22
4.834220420918990124e-02 -3.338237062151965316e-22
4.883050930221202734e-02 -2.043364122532618692e-21
4.931881439523414651e-02 9.602992143826777466e-22
4.980711948825626567e-02 6.549632430862697519e-22
5.029542458127838483e-02 4.122736657994406789e-22
5.078372967430050400e-02 6.917666536294512803e-22
5.127203476732262316e-02 -3.350450217849179773e-21
5.176033986034474926e-02 -9.980609334705014291e-23
5.224864495336686843e-02 1.851284771293573829e-21
5.273695004638898759e-02 -1.567489735524474999e-21
5.322525513941110675e-02 7.558769050544669496e-22
5.371356023243322592e-02 1.910492416092200469e-22
5.420186532545534508e-02 -3.641975104075173392e-22
5.469017041847747118e-02 1.522933103765786722e-21
5.517847551149959034e-02 1.445494597283489802e-21
5.566678060452170951e-02 -5.349983157999208254e-22
5.615508569754382867e-02 -2.225526055585844980e-21
5.664339079056594783e-02 5.281121893989402547e-22
