# time, data
0.000000000000000000e+00 -1.351742582250567399e-21
4.882812500000000000e-04 1.493321921147300934e-21
9.765625000000000000e-04 -8.598903620990862488e-22
1.464843750000000000e-03 5.907407074569869441e-23
1.953125000000000000e-03 -1.632088655119390153e-21
2.441406250000000000e-03 -9.800411863362337375e-22
2.929687500000000000e-03 1.177673502316212784e-21
3.417968750000000000e-03 4.995458946205830348e-22
3.906250000000000000e-03 -7.630122805308932722e-22
4.394531250000000000e-03 -9.772474470509479580e-22
4.882812500000000000e-03 3.931765062537474200e-22
5.371093750000000000e-03 1.297387530371577777e-21
5.859375000000000000e-03 -1.171327693514390322e-21
6.347656250000000000e-03 5.772279821066476218e-22
6.835937500000000000e-03 2.327342967153941629e-22
7.324218750000000000e-03 -1.408995273916134630e-22
7.812500000000000000e-03 -9.687873480203192554e-22
8.300781250000000000e-03 1.323839437144535473e-21
8.789062500000000000e-03 -1.023290548160699103e-21
9.277343750000000000e-03 -3.849904902325232424e-21
9.765625000000000000e-03 -2.382714177677619611e-22
1.025390625000000000e-02 -5.133828557346421580e-22
1.074218750000000000e-02 3.161159086376681794e-22
1.123046875000000000e-02 1.493276793549925077e-22
1.171875000000000000e-02 3.578479590236454935e-21
1.220703125000000000e-02 -5.664905697387706689e-22
1.269531250000000000e-02 -1.689415613981784493e-21
1.318359375000000000e-02 -3.484227906742089319e-23
1.367187500000000000e-02 1.484827027575104749e-21
1.416015625000000000e-02 -1.174302282904434877e-21
1.464843750000000000e-02 -2.056286029005611981e-21
1.513671875000000000e-02 -2.275067808141817341e-22
1.562500000000000000e-02 5.528778720486256817e-22
1.611328125000000000e-02 -1.873313578771177203e-21
1.660156250000000000e-02 -1.883960347390506073e-22
1.708984375000000000e-02 2.396286444901985087e-22
1.757812500000000000e-02 -2.970787653610673740e-22
1.806640625000000000e-02 1.316262450718210467e-21
1.855468750000000000e-02 1.583233785738695957e-21
1.904296875000000000e-02 7.727866604478614926e-22
1.953125000000000000e-02 3.998889856429669071e-21
2.001953125000000000e-02 -3.305514921912351834e-22
2.050781250000000000e-02 5.613179006602462469e-22
2.099609375000000000e-02 1.370614014538048120e-21
2.148437500000000000e-02 5.824134727203787907e-22
2.197265625000000000e-02 -1.961583472120563859e-21
2.246093750000000000e-02 3.584626795071742117e-22
2.294921875000000000e-02 2.734193260435008789e-22
2.343750000000000000e-02 9.492168536669757882e-22
2.392578125000000000e-02 1.149787330823352222e-21
2.441406250000000000e-02 -5.521465465585484021e-23
2.490234375000000000e-02 2.773204791639344791e-21
2.539062500000000000e-02 1.616920743340035126e-21
2.587890625000000000e-02 -1.871558735843947028e-21
2.636718750000000000e-02 -1.057920536225927426e-21
2.685546875000000000e-02 -2.144875275203227533e-21
2.734375000000000000e-02 -1.933598534415669088e-21
2.783203125000000000e-02 2.430005374747497859e-21
2.832031250000000000e-02 -2.715350099386417231e-21
2.880859375000000000e-02 1.027489458172215381e-21
2.929687500000000000e-02 -1.031583685138303600e-21
2.978515625000000000e-02 1.063360204614469993e-21
3.027343750000000000e-02 -8.547467530131822541e-22
3.076171875000000000e-02 -2.241913858108456576e-21
3.125000000000000000e-02 3.775320071976159158e-22
3.173828125000000000e-02 5.705454283940039662e-22
3.222656250000000000e-02 -8.724808791126088261e-22
3.271484375000000000e-02 1.164044011018310015e-21
3.320312500000000000e-02 -4.589113677909405099e-22
3.369140625000000000e-02 1.934030757316277453e-21
3.417968750000000000e-02 8.948256511087775374e-22
3.466796875000000000e-02 -1.913831053126734009e-21
3.515625000000000000e-02 -6.707739994930997264e-22
3.564453125000000000e-02 1.221567540693810769e-21
3.613281250000000000e-02 8.796718995988963602e-22
3.662109375000000000e-02 -9.459631676725492789e-22
3.710937500000000000e-02 3.052151986896406706e-21
3.759765625000000000e-02 -5.529511798211179656e-22
3.808593750000000000e-02 4.029037289842864526e-22
3.857421875000000000e-02 1.668362256128610377e-21
3.906250000000000000e-02 5.660806547368983782e-22
3.955078125000000000e-02 6.400604668951386364e-22
4.003906250000000000e-02 4.427450823374611195e-22
4.052734375000000000e-02 -8.613910144371852249e-22
4.101562500000000000e-02 -1.540376636625256999e-22
4.150390625000000000e-02 -3.542157687126242276e-22
4.199218750000000000e-02 -5.737651682982441339e-23
4.248046875000000000e-02 -1.169083056239714745e-23
4.296875000000000000e-02 4.678479611387781215e-22
4.345703125000000000e-02 -1.587140763140839524e-21
4.394531250000000000e-02 6.806888864386902930e-22
4.443359375000000000e-02 -6.370976529677240883e-22
4.492187500000000000e-02 1.552858478316017407e-22
4.541015625000000000e-02 -1.538951574109566871e-21
4.589843750000000000e-02 -1.553444165507861401e-21
4.638671875000000000e-02 -5.665317323737255103e-22
4.687500000000000000e-02 3.504042956374616579e-21
4.736328125000000000e-02 1.568132045695763627e-21
4.785156250000000000e-02 5.929328410612199764e-22
4.833984375000000000e-02 -3.261112062805657075e-22
4.882812500000000000e-02 -2.035987613960427462e-21
4.931640625000000000e-02 9.672776287923408020e-22
4.980468750000000000e-02 6.614846858352436336e-22
5.029296875000000000e-02 4.182831352904145144e-22
5.078125000000000000e-02 6.972136004435859427e-22
5.126953125000000000e-02 -3.345611735046478798e-21
5.175781250000000000e-02 -9.561685553702912710e-23
5.224609375000000000e-02 1.854789586833324416e-21
5.273437500000000000e-02 -1.564698887915756699e-21
5.322265625000000000e-02 7.579302951410740531e-22
5.371093750000000000e-02 1.923480252347383090e-22
5.419921875000000000e-02 -3.636642630042128025e-22
5.468750000000000000e-02 1.522696381985841293e-21
5.517578125000000000e-02 1.444490080796571552e-21
5.566406250000000000e-02 -5.367621264213581260e-22
5.615234375000000000e-02 -2.228034210436874739e-21
5.664062500000000000e-02 5.248810232970201838e-22
5.712890625000000000e-02 1.347309457997885773e-21
5.761718750000000000e-02 -7.920966890465109681e-22
5.810546875000000000e-02 2.310835448848985517e-21
5.859375000000000000e-02 -3.369884009082154432e-22
5.908203125000000000e-02 -9.485422014307832880e-23
5.957031250000000000e-02 1.148091108989167479e-22
6.005859375000000000e-02 2.244444993438332789e-22
6.054687500000000000e-02 -8.840374348984645389e-23
6.103515625000000000e-02 -3.046780369135745013e-22
6.152343750000000000e-02 -9.856033324093877890e-22
6.201171875000000000e-02 2.657614362068581247e-21
6.250000000000000000e-02 -2.443705328837312273e-22
6.298828125000000000e-02 -1.815179118269125623e-22
6.347656250000000000e-02 -1.378029622569805915e-22
6.396484375000000000e-02 3.304612459760791715e-22
6.445312500000000000e-02 -3.367057190671511448e-22
6.494140625000000000e-02 -2.333092985139365262e-21
6.542968750000000000e-02 -2.612663921429909109e-21
6.591796875000000000e-02 -1.237490527508124400e-21
6.640625000000000000e-02 -3.487577594399880389e-22
6.689453125000000000e-02 -2.074106709791166298e-22
