# time, noise
0.000000000000000000e+00 3.687481837973585919e-22
4.883050930221202474e-04 -2.766746066637659645e-22
9.766101860442404949e-04 -2.712029539231698781e-23
1.464915279066360742e-03 -4.738478814882281737e-22
1.953220372088480990e-03 3.965159552960609819e-22
2.441525465110601020e-03 -6.510703773091849465e-23
2.929830558132721485e-03 -4.659985410291763977e-23
3.418135651154841949e-03 1.332601667697436510e-22
3.906440744176961979e-03 3.974028413520557863e-22
4.394745837199082010e-03 1.945903784828794091e-23
4.883050930221202041e-03 3.901659387369160936e-22
5.371356023243322939e-03 5.183956710081382685e-22
5.859661116265442969e-03 3.848036338909712549e-22
6.347966209287563000e-03 -1.177955903750152895e-23
6.836271302309683898e-03 -2.905016314128470176e-22
7.324576395331803928e-03 -5.687911895250024560e-22
7.812881488353923959e-03 -2.905741741777289350e-22
8.301186581376044857e-03 -6.632416933965908006e-23
8.789491674398164020e-03 -2.092770272137078303e-22
9.277796767420284918e-03 1.806338944131988868e-22
9.766101860442404081e-03 -1.168394773112913623e-22
1.025440695346452498e-02 2.686064655029151125e-22
1.074271204648664588e-02 3.123813987792446894e-23
1.123101713950876504e-02 3.464285108995676240e-23
1.171932223253088594e-02 -3.856162879416493780e-22
1.220762732555300684e-02 4.112694358601559085e-23
1.269593241857512600e-02 4.648385094401820439e-22
1.318423751159724690e-02 3.229359080759495983e-22
1.367254260461936780e-02 5.865061841905049641e-22
1.416084769764148696e-02 1.668531327736389028e-22
1.464915279066360786e-02 -1.596201610661074790e-24
1.513745788368572702e-02 6.086909801416172827e-23
1.562576297670784792e-02 -2.010353753792640030e-22
1.611406806972996708e-02 2.585647547670773044e-22
1.660237316275208971e-02 -4.708187344309793536e-23
1.709067825577420888e-02 4.934335088729424272e-23
1.757898334879632804e-02 1.072619047918560970e-22
1.806728844181845067e-02 1.065303257332331277e-22
1.855559353484056984e-02 -2.259306076916356380e-22
1.904389862786268900e-02 -6.104449539857438338e-23
1.953220372088480816e-02 1.453741931193389021e-22
2.002050881390693080e-02 -2.523991470059424160e-22
2.050881390692904996e-02 3.914464279490181049e-22
2.099711899995116912e-02 -1.704055331691939809e-22
2.148542409297329175e-02 1.734336060705719946e-23
2.197372918599541092e-02 1.451305162012443907e-22
2.246203427901753008e-02 1.069222802308015706e-23
2.295033937203965271e-02 -5.511873995348450210e-23
2.343864446506177188e-02 7.822516906378820993e-23
2.392694955808389104e-02 2.630674278991601439e-22
2.441525465110601367e-02 -2.637898761811755013e-24
2.490355974412813284e-02 -3.188202742042379315e-22
2.539186483715025200e-02 -1.763591688642511966e-22
2.588016993017237463e-02 -4.643422104415014623e-22
2.636847502319449379e-02 2.134299254530044628e-22
2.685678011621661296e-02 4.238682666008263086e-22
2.734508520923873559e-02 1.287329350990050438e-22
2.783339030226085475e-02 2.361916798585545431e-22
2.832169539528297392e-02 2.815841371049124580e-22
2.881000048830509308e-02 2.410227424658127771e-22
2.929830558132721571e-02 2.319880927524614964e-22
2.978661067434933488e-02 -1.397607388110031184e-22
3.027491576737145404e-02 3.277166264162716725e-22
3.076322086039357667e-02 -2.455418881636762770e-22
3.125152595341569584e-02 -1.531748089585213793e-22
3.173983104643781500e-02 1.724321003934524965e-23
3.222813613945993416e-02 -1.322370934184513293e-22
3.271644123248205333e-02 -2.462279394589449509e-22
3.320474632550417943e-02 1.641528500615756695e-22
3.369305141852629859e-02 3.667605731202107409e-22
3.418135651154841775e-02 2.107572520721170609e-22
3.466966160457053692e-02 -6.327606513130899591e-23
3.515796669759265608e-02 1.265279804329210410e-22
3.564627179061477524e-02 -3.346906432192514886e-22
3.613457688363690135e-02 -3.235943217716573374e-22
3.662288197665902051e-02 4.055900318549133259e-22
3.711118706968113967e-02 -3.170718752157449688e-22
3.759949216270325884e-02 -5.573587336664558875e-23
3.808779725572537800e-02 -1.312567559219685597e-22
3.857610234874749716e-02 1.891150887962937953e-22
3.906440744176961632e-02 -3.864051074773292074e-23
3.955271253479174243e-02 1.879720653873453052e-22
4.004101762781386159e-02 -1.492738532070947661e-22
4.052932272083598075e-02 -9.847715328201500095e-23
4.101762781385809992e-02 4.659615147635747853e-22
4.150593290688021908e-02 -5.089026074443390189e-23
4.199423799990233824e-02 4.113288626039162114e-24
