# times, data
0.000000000000000000e+00 6.157225224794134828e-23
9.765625000000000000e-04 -2.230732345996849866e-22
1.953125000000000000e-03 5.317453772867529118e-22
2.929687500000000000e-03 -4.107266218259331839e-22
3.906250000000000000e-03 4.448709924456758238e-22
4.882812500000000000e-03 3.662419985056934059e-22
5.859375000000000000e-03 -5.746677742465691654e-23
6.835937500000000000e-03 1.930833626971427624e-22
7.812500000000000000e-03 1.799966008471666233e-22
8.789062500000000000e-03 -1.368430659946993935e-22
9.765625000000000000e-03 -1.415323866920868573e-22
1.074218750000000000e-02 -3.740107367670919708e-23
1.171875000000000000e-02 4.979095225807202990e-23
1.269531250000000000e-02 -3.732906049197007990e-22
1.367187500000000000e-02 3.703459896348521021e-22
1.464843750000000000e-02 2.613336382698312399e-23
1.562500000000000000e-02 2.954864087283707695e-22
1.660156250000000000e-02 2.740215412784442166e-22
1.757812500000000000e-02 4.322223004499237399e-22
1.855468750000000000e-02 -2.000923970529413707e-25
1.953125000000000000e-02 -3.591508591134924919e-22
2.050781250000000000e-02 -1.194059511771303095e-22
2.148437500000000000e-02 1.276010842456943935e-22
2.246093750000000000e-02 -1.266854725879278844e-22
2.343750000000000000e-02 -1.128285779784074229e-22
2.441406250000000000e-02 5.414324318284902638e-24
2.539062500000000000e-02 -4.762522175398990336e-22
2.636718750000000000e-02 -5.433358297031338258e-23
2.734375000000000000e-02 3.461463440055846967e-22
2.832031250000000000e-02 -2.862361012663507950e-23
2.929687500000000000e-02 -4.730363834590827544e-22
3.027343750000000000e-02 -5.423390061646953195e-23
3.125000000000000000e-02 1.340567688919645787e-23
3.222656250000000000e-02 3.906777738573547923e-22
3.320312500000000000e-02 3.507800551507268966e-23
3.417968750000000000e-02 1.679298324861162100e-22
3.515625000000000000e-02 1.438850204422678028e-22
3.613281250000000000e-02 1.865950105451509577e-22
3.710937500000000000e-02 3.822224547731597699e-22
3.808593750000000000e-02 -5.612045808428746955e-23
3.906250000000000000e-02 -3.230701528237544166e-22
4.003906250000000000e-02 -4.946842267193799233e-24
4.101562500000000000e-02 -2.530514912054791476e-22
4.199218750000000000e-02 -6.428351609428758193e-23
4.296875000000000000e-02 1.467909405594741420e-22
4.394531250000000000e-02 7.744986463582131572e-24
4.492187500000000000e-02 2.119140815552862688e-22
4.589843750000000000e-02 -2.658371290934252608e-23
4.687500000000000000e-02 -3.672521579016399868e-22
4.785156250000000000e-02 8.242366589561942736e-23
4.882812500000000000e-02 -5.450190598169723802e-22
4.980468750000000000e-02 3.933115812695783850e-23
5.078125000000000000e-02 -1.199320043260687926e-22
5.175781250000000000e-02 8.212174459250419905e-23
5.273437500000000000e-02 -1.534834938052866220e-22
5.371093750000000000e-02 -9.389666928517788860e-24
5.468750000000000000e-02 -9.693329392915936534e-23
5.566406250000000000e-02 6.665810337392425648e-23
5.664062500000000000e-02 -1.605301730527831028e-22
5.761718750000000000e-02 -3.683213174669250884e-22
5.859375000000000000e-02 4.827425380396411984e-23
5.957031250000000000e-02 -8.312759428229181012e-23
6.054687500000000000e-02 2.570580632063845420e-22
6.152343750000000000e-02 1.592689469038520931e-22
6.250000000000000000e-02 -1.008536914690903505e-22
6.347656250000000000e-02 1.379562904551831878e-24
6.445312500000000000e-02 1.742456321901772107e-22
6.542968750000000000e-02 1.853056836466267089e-22
6.640625000000000000e-02 -4.833801059226479811e-23
6.738281250000000000e-02 -1.892938585076474424e-22
6.835937500000000000e-02 -3.001781435390887159e-22
6.933593750000000000e-02 3.416734253889390925e-22
7.031250000000000000e-02 -4.505802540867282001e-22
7.128906250000000000e-02 2.308080579821433995e-22
7.226562500000000000e-02 -4.591984783637067426e-23
7.324218750000000000e-02 -2.446511221196096994e-22
7.421875000000000000e-02 2.547207632956043677e-23
7.519531250000000000e-02 2.813404858669492772e-22
7.617187500000000000e-02 1.639276848502091166e-22
7.714843750000000000e-02 -3.397371413339444545e-22
7.812500000000000000e-02 9.028200330953037277e-24
7.910156250000000000e-02 7.772518905503819090e-23
8.007812500000000000e-02 2.067248540775863611e-22
8.105468750000000000e-02 -5.206145670062815439e-23
8.203125000000000000e-02 9.324362979033718971e-23
8.300781250000000000e-02 8.717384155004436612e-23
8.398437500000000000e-02 4.163083928644275277e-22
8.496093750000000000e-02 -9.800132051077375685e-23
8.593750000000000000e-02 1.094040462065406639e-22
8.691406250000000000e-02 -3.458972900231973855e-22
8.789062500000000000e-02 -1.227286896253493816e-22
8.886718750000000000e-02 -1.629204978487266750e-22
8.984375000000000000e-02 -7.504710982197589984e-23
9.082031250000000000e-02 5.391038560377463791e-23
9.179687500000000000e-02 -2.839795432938483205e-22
9.277343750000000000e-02 3.327832963650076489e-23
9.375000000000000000e-02 -6.050374867744312868e-23
9.472656250000000000e-02 -2.979978730690947313e-23
9.570312500000000000e-02 2.572875056410233373e-22
9.667968750000000000e-02 -5.115750082652132434e-23
9.765625000000000000e-02 1.574599031606143432e-22
9.863281250000000000e-02 9.156384061332274067e-23
9.960937500000000000e-02 1.747113370341799073e-22
1.005859375000000000e-01 -2.976902204904235847e-22
1.015625000000000000e-01 2.942831325654150649e-22
1.025390625000000000e-01 -1.981857370593787744e-22
1.035156250000000000e-01 -4.164728531458794740e-23
1.044921875000000000e-01 1.230274810345126513e-22
1.054687500000000000e-01 1.500646396108857588e-22
1.064453125000000000e-01 3.675828505924686276e-22
1.074218750000000000e-01 -1.925932986013818404e-22
1.083984375000000000e-01 -6.297784083456008129e-24
1.093750000000000000e-01 -1.380039802022214061e-22
1.103515625000000000e-01 -1.462959473087326866e-22
1.113281250000000000e-01 -1.814696924060099791e-22
1.123046875000000000e-01 3.515143845817471328e-22
1.132812500000000000e-01 2.931659294507166422e-23
1.142578125000000000e-01 7.584244898995446788e-24
1.152343750000000000e-01 -3.603665898770517495e-22
1.162109375000000000e-01 -1.533722776943729439e-22
1.171875000000000000e-01 -1.911158440322319972e-22
1.181640625000000000e-01 2.739381934291898072e-23
1.191406250000000000e-01 -6.458084106461841006e-23
1.201171875000000000e-01 -1.080535380732721856e-22
1.210937500000000000e-01 3.112010986712776011e-23
1.220703125000000000e-01 -2.186868077526373708e-22
1.230468750000000000e-01 9.089138030926923752e-23
1.240234375000000000e-01 2.308671265151322218e-22
1.250000000000000000e-01 -2.631762803792919928e-22
1.259765625000000000e-01 -1.787076638068945797e-22
1.269531250000000000e-01 6.139505062843160204e-23
1.279296875000000000e-01 -3.172767652510458192e-22
1.289062500000000000e-01 -1.983689461968533024e-22
1.298828125000000000e-01 2.596543050857043449e-22
1.308593750000000000e-01 1.705990504582432068e-23
1.318359375000000000e-01 1.849173250109594067e-22
1.328125000000000000e-01 1.353386094606048347e-22
1.337890625000000000e-01 -1.936757624970311770e-22
1.347656250000000000e-01 -1.857617815093826824e-22
1.357421875000000000e-01 -8.766528452205175855e-23
1.367187500000000000e-01 -3.670387412913426421e-22
1.376953125000000000e-01 3.032416664784985232e-22
1.386718750000000000e-01 3.927858307010086459e-23
1.396484375000000000e-01 1.074358056258060526e-22
1.406250000000000000e-01 -3.903330705865662099e-22
1.416015625000000000e-01 -1.086808725200193896e-22
1.425781250000000000e-01 7.904977965225834062e-23
1.435546875000000000e-01 1.399307519405926909e-22
1.445312500000000000e-01 -2.141439002338345019e-22
1.455078125000000000e-01 4.500320422016530899e-23
1.464843750000000000e-01 -8.968700777675862541e-23
1.474609375000000000e-01 -1.020500040240356566e-22
1.484375000000000000e-01 2.591154149563136630e-22
1.494140625000000000e-01 -2.407116438136759300e-22
1.503906250000000000e-01 -3.278827958246935482e-22
1.513671875000000000e-01 -1.052087557350744239e-22
1.523437500000000000e-01 2.064922458131081598e-23
1.533203125000000000e-01 3.491299810391596129e-22
1.542968750000000000e-01 -1.761840517783007835e-22
1.552734375000000000e-01 -1.847430921909345268e-22
1.562500000000000000e-01 1.541650529947893479e-22
1.572265625000000000e-01 -3.555557028159322172e-22
1.582031250000000000e-01 1.483583749495622413e-22
1.591796875000000000e-01 2.612763064428767484e-22
1.601562500000000000e-01 1.774037182485703426e-22
1.611328125000000000e-01 -2.283039584583279855e-22
1.621093750000000000e-01 1.141645272147067407e-22
1.630859375000000000e-01 1.371868555651243474e-22
1.640625000000000000e-01 -3.313460713047825999e-22
1.650390625000000000e-01 5.090525032674037121e-22
1.660156250000000000e-01 6.464878420111497642e-23
1.669921875000000000e-01 1.938310427048416178e-22
1.679687500000000000e-01 -5.392111012657081999e-22
1.689453125000000000e-01 -3.474377923170290681e-23
1.699218750000000000e-01 4.928315000055143487e-23
1.708984375000000000e-01 -1.466845898571738954e-22
1.718750000000000000e-01 -6.250137525966387281e-24
1.728515625000000000e-01 -4.286018568067893608e-22
1.738281250000000000e-01 3.004569451557325853e-22
1.748046875000000000e-01 3.645865356683751753e-23
1.757812500000000000e-01 1.102082246678981623e-22
1.767578125000000000e-01 3.499488732062945114e-22
1.777343750000000000e-01 4.593596669686443115e-22
1.787109375000000000e-01 5.783535132966886804e-23
1.796875000000000000e-01 -4.313224050989952238e-22
1.806640625000000000e-01 4.203474864519448172e-22
1.816406250000000000e-01 3.612896632682665332e-22
1.826171875000000000e-01 -1.276499540927422358e-22
1.835937500000000000e-01 1.306427076890301760e-23
1.845703125000000000e-01 -6.507328900512661068e-23
1.855468750000000000e-01 -1.940041080583336805e-22
1.865234375000000000e-01 -9.966014992909249566e-23
1.875000000000000000e-01 -5.164816469837063071e-22
1.884765625000000000e-01 1.090572733193219254e-22
1.894531250000000000e-01 2.070628628311654953e-22
1.904296875000000000e-01 -1.218544304724728758e-22
1.914062500000000000e-01 -2.683332446160208725e-24
1.923828125000000000e-01 -2.040562157165950299e-22
1.933593750000000000e-01 -4.716532351970554192e-23
1.943359375000000000e-01 2.288888807749872582e-22
1.953125000000000000e-01 -2.011842224476985073e-22
1.962890625000000000e-01 3.931184613611819786e-22
1.972656250000000000e-01 9.432328668010211642e-23
1.982421875000000000e-01 -2.382889762846228838e-22
1.992187500000000000e-01 -4.115729456401985986e-22
2.001953125000000000e-01 1.749467958571372066e-22
2.011718750000000000e-01 8.245411220946753555e-23
2.021484375000000000e-01 7.850394362171243039e-23
2.031250000000000000e-01 -3.812276338337398555e-22
2.041015625000000000e-01 2.157749668648715272e-22
2.050781250000000000e-01 1.312068090406404747e-22
2.060546875000000000e-01 -1.661954773059990082e-22
2.070312500000000000e-01 1.691920526954968068e-22
2.080078125000000000e-01 -3.119862067536213561e-22
2.089843750000000000e-01 4.552076045775990640e-22
2.099609375000000000e-01 3.177264982037003556e-23
2.109375000000000000e-01 -1.753283164931447597e-22
2.119140625000000000e-01 -1.105994125235861531e-23
2.128906250000000000e-01 -3.110477757393139183e-23
2.138671875000000000e-01 1.258386226747022418e-23
2.148437500000000000e-01 4.655401092713159256e-22
2.158203125000000000e-01 -1.849571108238224562e-22
2.167968750000000000e-01 7.909598928191253133e-23
2.177734375000000000e-01 -4.197819343240559883e-22
2.187500000000000000e-01 -6.208551312979389868e-24
2.197265625000000000e-01 -5.930735518748975268e-22
2.207031250000000000e-01 -6.670373756226254881e-24
2.216796875000000000e-01 -3.115187919484648064e-22
2.226562500000000000e-01 -4.413206117759752320e-23
2.236328125000000000e-01 -2.584361553975646100e-22
2.246093750000000000e-01 4.473700689467507467e-22
2.255859375000000000e-01 2.615015626732292342e-22
2.265625000000000000e-01 8.957095845115069569e-24
2.275390625000000000e-01 3.418184133777132712e-22
2.285156250000000000e-01 1.353922522621186525e-22
2.294921875000000000e-01 3.231072572289673188e-22
2.304687500000000000e-01 -2.368525889364753350e-23
2.314453125000000000e-01 -2.300368222908519519e-22
2.324218750000000000e-01 2.927836984792164946e-22
2.333984375000000000e-01 1.315897143853379567e-23
2.343750000000000000e-01 3.542027147480252095e-22
2.353515625000000000e-01 7.589771679318494369e-23
2.363281250000000000e-01 -1.116738308378834589e-22
2.373046875000000000e-01 -2.474054346785363163e-22
2.382812500000000000e-01 7.253470623738152535e-23
2.392578125000000000e-01 -2.201390538904932557e-22
2.402343750000000000e-01 1.841689140162338336e-22
2.412109375000000000e-01 -3.470170857191751226e-22
2.421875000000000000e-01 -2.269472931097395408e-22
2.431640625000000000e-01 -5.572000888189882586e-22
2.441406250000000000e-01 -2.871164845672078167e-22
2.451171875000000000e-01 -6.965950404484150783e-24
2.460937500000000000e-01 9.689228757054322810e-23
2.470703125000000000e-01 -2.410859827376137778e-22
2.480468750000000000e-01 -1.011031944252823594e-22
2.490234375000000000e-01 2.907612794553062502e-22
2.500000000000000000e-01 2.536371931705881963e-22
2.509765625000000000e-01 -2.626536478886490201e-22
2.519531250000000000e-01 7.177067612290121378e-23
2.529296875000000000e-01 8.036112135702690035e-23
2.539062500000000000e-01 -7.714067380280205703e-24
2.548828125000000000e-01 1.587341250688547721e-22
2.558593750000000000e-01 -1.753894819961750940e-22
