# time, data
0.000000000000000000e+00 3.960055304876122650e-22
4.882812500000000000e-04 -2.509283289223544729e-22
9.765625000000000000e-04 -3.101444077966513643e-24
1.464843750000000000e-03 -4.517583790958311501e-22
1.953125000000000000e-03 4.164901172597716079e-22
2.441406250000000000e-03 -4.741572673077591532e-23
2.929687500000000000e-03 -3.133965382156786039e-23
3.417968750000000000e-03 1.459610424936188371e-22
3.906250000000000000e-03 4.074383137735587079e-22
4.394531250000000000e-03 2.674563681148009395e-23
4.882812500000000000e-03 3.946428362392708906e-22
5.371093750000000000e-03 5.200261638452678200e-22
5.859375000000000000e-03 3.835752793030187984e-22
6.347656250000000000e-03 -1.585568338786806338e-23
6.835937500000000000e-03 -2.973901555707169589e-22
7.324218750000000000e-03 -5.784326660314889351e-22
7.812500000000000000e-03 -3.028865418470807904e-22
8.300781250000000000e-03 -8.120273712079087885e-23
8.789062500000000000e-03 -2.265950187902375510e-22
9.277343750000000000e-03 1.610232554533036089e-22
9.765625000000000000e-03 -1.385767214581150734e-22
1.025390625000000000e-02 2.449270912712156377e-22
1.074218750000000000e-02 5.816981466010640342e-24
1.123046875000000000e-02 7.694700990818335243e-24
1.171875000000000000e-02 -4.138632410166445320e-22
1.220703125000000000e-02 1.181992037747685900e-23
1.269531250000000000e-02 4.347186931664266690e-22
1.318359375000000000e-02 2.922579405806663671e-22
1.367187500000000000e-02 5.555291342967832916e-22
1.416015625000000000e-02 1.358380690252498169e-22
1.464843750000000000e-02 -3.238742411426802352e-23
1.513671875000000000e-02 3.056154746550332096e-23
1.562500000000000000e-02 -2.306041194223827296e-22
1.611328125000000000e-02 2.299841139454502543e-22
1.660156250000000000e-02 -7.443342738458111507e-23
1.708984375000000000e-02 2.345083616277269560e-23
1.757812500000000000e-02 8.304637499157994869e-23
1.806640625000000000e-02 8.419575956811800983e-23
1.855468750000000000e-02 -2.461967683210899223e-22
1.904296875000000000e-02 -7.907207205460915203e-23
1.953125000000000000e-02 1.297368175495729291e-22
2.001953125000000000e-02 -2.655154987337139785e-22
2.050781250000000000e-02 3.809607169992482262e-22
2.099609375000000000e-02 -1.781727279220644237e-22
2.148437500000000000e-02 1.235907635507249063e-23
2.197265625000000000e-02 1.429699938498788784e-22
2.246093750000000000e-02 1.137304288883702354e-23
2.294921875000000000e-02 -5.160341558284907935e-23
2.343750000000000000e-02 8.454407086425668406e-23
2.392578125000000000e-02 2.721359285762957581e-22
2.441406250000000000e-02 9.102738815099750724e-24
2.490234375000000000e-02 -3.045078053129032542e-22
2.539062500000000000e-02 -1.595962429653981929e-22
2.587890625000000000e-02 -4.452709979026612368e-22
2.636718750000000000e-02 2.346473871872442423e-22
2.685546875000000000e-02 4.470524385290806112e-22
2.734375000000000000e-02 1.536877312222686290e-22
2.783203125000000000e-02 2.627056153864929640e-22
2.832031250000000000e-02 3.094331188836187737e-22
2.880859375000000000e-02 2.699716279750412449e-22
2.929687500000000000e-02 2.617919639293563364e-22
2.978515625000000000e-02 -1.093535641853045086e-22
3.027343750000000000e-02 3.584706965719489664e-22
3.076171875000000000e-02 -2.147007614834234302e-22
3.125000000000000000e-02 -1.225068797872622479e-22
3.173828125000000000e-02 4.747963852740179504e-23
3.222656250000000000e-02 -1.026873060431615729e-22
3.271484375000000000e-02 -2.176139679779732538e-22
3.320312500000000000e-02 1.915903112551677307e-22
3.369140625000000000e-02 3.927903345972254137e-22
3.417968750000000000e-02 2.351600114269770547e-22
3.466796875000000000e-02 -4.070524663118234200e-23
3.515625000000000000e-02 1.470770341722530933e-22
3.564453125000000000e-02 -3.163362736639145568e-22
3.613281250000000000e-02 -3.075883899833975550e-22
3.662109375000000000e-02 4.191133506757655811e-22
3.710937500000000000e-02 -3.061447026636779407e-22
3.759765625000000000e-02 -4.749585770604761748e-23
3.808593750000000000e-02 -1.257723542098598943e-22
3.857421875000000000e-02 1.917982290704463764e-22
3.906250000000000000e-02 -3.878010022126333190e-23
3.955078125000000000e-02 1.850120999552588304e-22
4.003906250000000000e-02 -1.550285887062484623e-22
4.052734375000000000e-02 -1.069770336423422159e-22
4.101562500000000000e-02 4.547894095533082898e-22
4.150390625000000000e-02 -6.463973682345604736e-23
4.199218750000000000e-02 -1.209665574174736974e-23
4.248046875000000000e-02 1.751012030733728209e-22
4.296875000000000000e-02 -3.493457170793374938e-23
4.345703125000000000e-02 1.226687232482479874e-22
4.394531250000000000e-02 -6.538617572929834569e-22
4.443359375000000000e-02 1.400334492674012570e-22
4.492187500000000000e-02 1.471973390902375609e-22
4.541015625000000000e-02 -4.276121035494440120e-22
4.589843750000000000e-02 1.342334907424468046e-22
4.638671875000000000e-02 1.116648019870957781e-22
4.687500000000000000e-02 -6.324650611645529653e-23
4.736328125000000000e-02 9.191592660354172977e-23
4.785156250000000000e-02 -7.217922076112502209e-23
4.833984375000000000e-02 9.781092956026545560e-23
4.882812500000000000e-02 3.985285189562345000e-22
